provision_id,van_ban,doc_code,chuong,dieu,tieu_de_dieu,khoan,diem,noi_dung,hieu_luc,ngay_hieu_luc,ngay_het_hieu_luc,thay_the_boi,thay_the_cho,van_ban_sua_doi,ghi_chu
10_2012_QH13__D5__K2,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,5,Quyền và nghĩa vụ của người lao động,2,"a, b, c","Điều 5. Quyền và nghĩa vụ của người lao động
2. Người lao động có các nghĩa vụ sau đây:
a) Thực hiện hợp đồng lao động, thoả ước lao động tập thể;
b) Chấp hành kỷ luật lao động, nội quy lao động, tuân theo sự điều hành hợp
pháp của người sử dụng lao động;
c) Thực hiện các quy định của pháp luật về bảo hiểm xã hội và pháp luật về bảo
hiểm y tế.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D6__K1,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,6,Quyền và nghĩa vụ của người sử dụng lao động,1,"a, b, c, d","Điều 6. Quyền và nghĩa vụ của người sử dụng lao động
1. Người sử dụng lao động có các quyền sau đây:
a) Tuyển dụng, bố trí, điều hành lao động theo nhu cầu sản xuất, kinh doanh;
khen thưởng và xử lý vi phạm kỷ luật lao động;
b) Thành lập, gia nhập, hoạt động trong tổ chức nghề nghiệp và tổ chức khác
theo quy định của pháp luật;
c) Yêu cầu tập thể lao động đối thoại, thương lượng, ký kết thoả ước lao động
tập thể; tham gia giải quyết tranh chấp lao động, đình công; trao đổi với công đoàn
về các vấn đề trong quan hệ lao động, cải thiện đời sống vật chất và tinh thần của
người lao động;
d) Đóng cửa tạm thời nơi làm việc.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D6__K2,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,6,Quyền và nghĩa vụ của người sử dụng lao động,2,"a, b, c, d, đ","Điều 6. Quyền và nghĩa vụ của người sử dụng lao động
2. Người sử dụng lao động có các nghĩa vụ sau đây:
a) Thực hiện hợp đồng lao động, thoả ước lao động tập thể và thoả thuận khác
với người lao động, tôn trọng danh dự, nhân phẩm của người lao động;
b) Thiết lập cơ chế và thực hiện đối thoại với tập thể lao động tại doanh
nghiệp và thực hiện nghiêm chỉnh quy chế dân chủ ở cơ sở;
c) Lập sổ quản lý lao động, sổ lương và xuất trình khi cơ quan có thẩm quyền
yêu cầu;
d) Khai trình việc sử dụng lao động trong thời hạn 30 ngày, kể từ ngày bắt
đầu hoạt động và định kỳ báo cáo tình hình thay đổi về lao động trong quá trình
hoạt động với cơ quan quản lý nhà nước về lao động ở địa phương;

đ) Thực hiện các quy định khác của pháp luật về lao động, pháp luật về bảo
hiểm xã hội và pháp luật về bảo hiểm y tế.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D7__K1,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,7,Quan hệ lao động,1,,"Điều 7. Quan hệ lao động
1. Quan hệ lao động giữa người lao động hoặc tập thể lao động với người sử
dụng lao động được xác lập qua đối thoại, thương lượng, thoả thuận theo nguyên
tắc tự nguyện, thiện chí, bình đẳng, hợp tác, tôn trọng quyền và lợi ích hợp pháp
của nhau.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D7__K2,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,7,Quan hệ lao động,2,,"Điều 7. Quan hệ lao động
2. Công đoàn, tổ chức đại diện người sử dụng lao động tham gia cùng với cơ
quan nhà nước hỗ trợ xây dựng quan hệ lao động hài hoà, ổn định và tiến bộ; giám
sát việc thi hành các quy định của pháp luật về lao động; bảo vệ quyền và lợi ích
hợp pháp của người lao động, người sử dụng lao động.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D8__K1,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,8,Các hành vi bị nghiêm cấm,1,,"Điều 8. Các hành vi bị nghiêm cấm
1. Phân biệt đối xử về giới tính, dân tộc, màu da, thành phần xã hội, tình trạng
hôn nhân, tín ngưỡng, tôn giáo, nhiễm HIV, khuyết tật hoặc vì lý do thành lập, gia
nhập và hoạt động công đoàn.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D8__K2,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,8,Các hành vi bị nghiêm cấm,2,,"Điều 8. Các hành vi bị nghiêm cấm
2. Ngược đãi người lao động, quấy rối tình dục tại nơi làm việc.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D8__K3,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,8,Các hành vi bị nghiêm cấm,3,,"Điều 8. Các hành vi bị nghiêm cấm
3. Cưỡng bức lao động.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D8__K4,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,8,Các hành vi bị nghiêm cấm,4,,"Điều 8. Các hành vi bị nghiêm cấm
4. Lợi dụng danh nghĩa dạy nghề, tập nghề để trục lợi, bóc lột sức lao động
hoặc dụ dỗ, ép buộc người học nghề, người tập nghề vào hoạt động trái pháp luật.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D8__K5,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,8,Các hành vi bị nghiêm cấm,5,,"Điều 8. Các hành vi bị nghiêm cấm
5. Sử dụng lao động chưa qua đào tạo nghề hoặc chưa có chứng chỉ kỹ năng
nghề quốc gia đối với nghề, công việc phải sử dụng lao động đã được đào tạo nghề
hoặc phải có chứng chỉ kỹ năng nghề quốc gia.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D8__K6,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,8,Các hành vi bị nghiêm cấm,6,,"Điều 8. Các hành vi bị nghiêm cấm
6. Dụ dỗ, hứa hẹn và quảng cáo gian dối để lừa gạt người lao động hoặc lợi
dụng dịch vụ việc làm, hoạt động đưa người lao động đi làm việc ở nước ngoài
theo hợp đồng để thực hiện hành vi trái pháp luật.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D8__K7,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương I,8,Các hành vi bị nghiêm cấm,7,,"Điều 8. Các hành vi bị nghiêm cấm
7. Sử dụng lao động chưa thành niên trái pháp luật.
CHƯƠNG II
VIỆC LÀM",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D9__K1,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương II,9,"Việc làm, giải quyết việc làm",1,,"Điều 9. Việc làm, giải quyết việc làm
1. Việc làm là hoạt động lao động tạo ra thu nhập mà không bị pháp luật cấm.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
